player,archetype,PC1,PC2,Performance_Gls_norm,Performance_TklW_norm,Total_Cmp%_norm,Progression_PrgC_norm,Creativity_Score_norm,archetype_name
Micky van de Ven,3,-2.9517571809678023,2.6375309459854006,0.0963868711109893,1.386042495681119,1.921149795760723,-0.4746545495520749,1.061800502383628,Ball-Playing Defender
Oliver Skipp,1,-4.031462227480539,-0.6690662474236888,-0.7072367930041181,-0.5453289653640963,1.6469857466453912,-0.8602672326627188,0.4705252858608867,Center Back
Pape Matar Sarr,0,0.6485812054867793,3.501104466201734,0.0963868711109893,0.4623431012681899,1.1235816528797598,0.3666822135984206,0.0189631142061169,Central Midfielder
Pedro Porro,0,4.30622562753769,6.934257391080306,0.0963868711109893,3.73727731782312,-0.2721625971619285,0.8574619921028764,5.737638824167647,Central Midfielder
Pierre Højbjerg,3,-2.419575533564058,2.1888174855262665,-0.7072367930041181,-0.0414929320479531,1.0986576484147292,-0.5447659464812828,0.2047240833468367,Ball-Playing Defender
Richarlison,6,6.362400298752205,-3.9142904696134484,2.239383308751276,-0.6293016375834534,-1.2815847779956502,-0.229264660299847,-0.0238506010825525,Attacking Midfielder
Rodrigo Bentancur,1,-2.180636578942703,-0.053955688667597174,-0.4393622382990823,-0.2934109487060247,0.7372595836717915,-0.5798216449458868,0.4622226777009621,Center Back
Son Heung-min,2,13.97066874517774,2.175530848179291,3.8466306369814895,-0.461356293144739,0.5129435434865206,3.030915296908323,16.241048929966432,Complete Forward
Timo Werner,4,2.642306808013021,-2.685155502448319,-0.1714876835940464,-1.2171103431189536,-0.1973905837668387,1.628687358324164,-0.0874640699400472,Poacher
Yves Bissouma,3,-2.6197482399307357,6.059925801618854,-0.7072367930041181,2.813577923410191,1.6594477488779074,0.3666822135984206,0.3503591525150069,Ball-Playing Defender
Angelo Ogbonna,1,-4.5667200991257015,-2.781576610826378,-0.7072367930041181,-1.1331376708995964,0.1889314854411294,-1.0706014234503427,1.123443642559696,Center Back
Ben Johnson,1,-3.5491191702000235,-3.1626004321633943,-0.7072367930041181,-0.9651923264608822,-0.5837126529748052,-0.5447659464812828,1.123443642559696,Center Back
Edson Álvarez,3,-2.9402154745658846,3.661546468156602,-0.4393622382990823,1.7219331845585475,0.899265612694487,-0.4395988510874709,0.2609364016110725,Ball-Playing Defender
Emerson Palmieri,0,-0.9487458087349747,5.483084540936671,-0.4393622382990823,4.157140678919906,0.3758615189288555,0.9275733890320844,0.1169257957722206,Central Midfielder
James Ward-Prowse,0,5.05339958711018,4.519908007649234,1.1678850899311326,0.8822064623649759,0.5627915524165815,-0.5097102480166789,8.916364014872787,Central Midfielder
Jarrod Bowen,2,9.024666916283543,-0.5328565345829731,3.578756082276455,0.7982337901456187,-1.181888760135528,2.014300041434808,1.5224361204032877,Complete Forward
Konstantinos Mavropanos,1,-3.2308943994758086,-1.1696348811873125,-0.4393622382990823,-0.2094382764866675,-0.3095486038594733,-0.7901558357335108,0.8384082791079076,Center Back
Kurt Zouma,1,-2.7359617751175445,-0.015289204376606651,0.0963868711109893,-0.1254656042673103,0.6749495725092161,-0.8953229311273228,0.7833402600405415,Center Back
Lucas Paquetá,0,4.336630056995492,5.429281008808106,0.3642614258160251,2.477687234532762,-0.5587886485097747,0.0511809274169848,2.87105895344978,Central Midfielder
Michail Antonio,4,2.7288320768714525,-4.253245530570454,0.9000105352260968,-0.8812196542415249,-2.4903989945496114,0.5419607059214405,0.3277620029408092,Poacher
Mohammed Kudus,0,5.464317181725554,3.3803165748492305,1.4357596446361682,2.3937145623134053,-0.1226185703717472,2.960803899979115,0.5221972015240383,Central Midfielder
Nayef Aguerd,1,-3.550785240622038,-0.21833504051452998,-0.4393622382990823,-0.3773836209253818,0.2138554899061581,-0.7901558357335108,0.7365748491331,Center Back
Saïd Benrahma,4,-0.18519176775893603,-3.1040291078646827,-0.7072367930041181,-1.2171103431189536,-0.4092446217195953,-0.1591532633706391,0.1128342822451494,Poacher
Tomáš Souček,5,1.0562003595229508,1.1456615366512382,1.1678850899311326,1.386042495681119,-0.4092446217195953,-0.8953229311273228,-0.0102146756047415,Wide Midfielder
Vladimír Coufal,0,0.44964122692116715,4.756825928904076,-0.7072367930041181,1.889878528997262,-1.1320407512054689,1.2430746752135202,1.0321738234987563,Central Midfielder
Boubacar Traoré,1,-3.9928720493858116,-0.9311753826099987,-0.7072367930041181,0.3783704290488328,0.7247975814392771,-0.8252115341981148,0.5928236423083295,Center Back
Craig Dawson,1,-2.893857303760426,0.4234350019489603,-0.4393622382990823,0.1264524123907612,1.011423632787123,-1.1056571219149467,0.1440688670754619,Center Back
Hugo Bueno,1,-3.640239726991214,-2.2378227752513435,-0.7072367930041181,-0.3773836209253818,-0.0104605502791127,-0.3694874541582629,0.4320624831133698,Center Back
Hwang Hee-chan,6,4.4437683817606,-2.1513178725627413,2.5072578634563114,-0.7132743098028106,-0.1724665793018082,0.1563480228107967,-0.0453034514598804,Attacking Midfielder
Jean-Ricner Bellegarde,1,-1.1965110677049442,-2.4212056343075323,-0.1714876835940464,-0.7132743098028106,-0.1973905837668387,-0.0890418664414311,0.1790766957205329,Center Back
João Gomes,3,-1.0711333942856893,4.559432329866753,-0.1714876835940464,4.660976712236049,0.4755575367889757,-0.1591532633706391,-0.0452280233777716,Ball-Playing Defender
Mario Lemina,0,-0.2503334162243169,4.072184351469567,0.3642614258160251,3.317413956726334,0.9241896171595176,-0.0189304695122231,-0.0218857915290849,Central Midfielder
Matheus Cunha,2,8.167977874276504,0.5063098699859946,2.5072578634563114,-0.2094382764866675,0.1016974698135236,2.610246915333076,0.4257890743331033,Complete Forward
Matt Doherty,1,-2.4615840661648525,-1.6808084694157763,-0.4393622382990823,-0.0414929320479531,0.0643114631159787,-0.7200444388043028,0.1176819163026281,Center Back
Nélson Semedo,0,-0.8503266655015073,5.584822619167148,-0.7072367930041181,2.477687234532762,0.1640074809760989,2.47002412147466,-0.0332331186131564,Central Midfielder
Pablo Sarabia,6,5.897521371081154,0.620892637590988,0.3642614258160251,-0.461356293144739,-1.0323447333453488,0.2965708166692127,4.336889667256031,Attacking Midfielder
Pedro Neto,6,4.831534187630355,-0.18075771763823112,-0.1714876835940464,-1.3010830153383108,-0.484016635114685,2.2947456291516395,1.6415168252505294,Attacking Midfielder
Rayan Aït-Nouri,3,-0.12461142836943064,2.8250788698042832,-0.1714876835940464,2.1417965456553336,0.762183588136822,1.2080189767489162,0.1169257957722206,Ball-Playing Defender
Tommy Doyle,1,-3.3966147393026676,0.16389262154650983,-0.7072367930041181,-0.461356293144739,0.6874115747417322,-0.4045431526228669,0.4958378463910004,Center Back
Toti Gomes,3,-1.923564753712404,1.5309755668761238,-0.4393622382990823,0.5463157734875471,0.4630955345564596,-0.3694874541582629,0.2713013239184103,Ball-Playing Defender
Ben White,1,-2.42965964926842,-0.2850336195644956,-0.6998955989232846,-0.3667005291979605,0.551854782487998,-0.2991059167733937,0.119074267949585,Center Back
Bukayo Saka,2,9.855055976114526,0.6789391814704188,0.9254918345449514,-0.2856461576982376,-0.4612226227009712,2.259887328171276,8.390757301453387,Complete Forward
Declan Rice,0,4.86147794805242,6.063212683684881,0.3836960233888727,0.5248975572989909,0.5030317750090126,2.049559116258015,7.102249666756377,Central Midfielder
Ethan Nwaneri,4,1.420444645526133,-2.385036189472468,0.3836960233888727,-0.9340811296960204,0.1490649707863598,0.5071522288941048,0.0320861556189897,Poacher
Gabriel Jesus,4,0.5919119931771413,-3.5643269916188056,0.1127981178108334,-1.0151355011957433,-0.3025478483942654,-0.5795435326577411,0.3870830336126583,Poacher
Gabriel Magalhães,3,-1.5764078475933718,1.6535856909461264,0.1127981178108334,-0.2856461576982376,1.3330229021517823,-0.7548170425854581,0.1492171665988285,Ball-Playing Defender
Gabriel Martinelli,6,7.131115879893542,-0.630086800837806,1.46728764570103,-0.2856461576982376,-0.961658449360582,3.2414189837664917,2.560159274227259,Attacking Midfielder
Jakub Kiwior,1,-3.5653728168821703,-1.081368297988636,-0.4289976933452452,-0.8530267581962976,1.4794919245887423,-0.9300905525131752,0.6887417954608951,Center Back
Jorginho,1,-3.749435266262194,-0.33885067815844455,-0.6998955989232846,-1.177244244195189,0.9058215867106508,-0.6847076386143713,0.7484168740505408,Center Back
Jurriën Timber,3,-0.7996088069476699,3.7307430987982597,-0.4289976933452452,1.578604386795388,0.7715583161434368,0.8927539507350823,0.0141515844266816,Ball-Playing Defender
Kai Havertz,6,4.552690950644521,-2.2914047808028806,1.7381855512790694,-0.7719723866965748,-0.1072558184783185,0.1215505070531272,-0.0074231121391159,Attacking Midfielder
